ELU-STR;;;;;;;;;;;;;
;;;;;;;;;;;;;
Enveloppe : RŽactions aux appuis;;;;;;;;;;;;;
Groupe : Groupe 1 (Repre global);;;;;;;;;;;;;
Point;Nom point;RFxmin;Cas;RFxmax;Cas;RFymin;Cas;RFymax;Cas;RFzmin;Cas;RFzmax;Cas
-;-;daN;-;daN;-;daN;-;daN;-;daN;-;daN;-
56;-;-2343;59: G+1.5W;2535;33: 1.35G+1.5W3+1.05Q+0.75S;-244;63: G+1.5W2;244;37: 1.35G+1.5W4+1.05Q+0.75S;17776;67: G+1.5W3;64128;8: 1.35G+1.5Q+0.75S+0.9W
184;-;-245;25: 1.35G+1.5W+1.05Q+0.75S;245;67: G+1.5W3;-2276;67: G+1.5W3;3086;25: 1.35G+1.5W+1.05Q+0.75S;3351;59: G+1.5W;24754;33: 1.35G+1.5W3+1.05Q+0.75S
63;-;-245;25: 1.35G+1.5W+1.05Q+0.75S;245;67: G+1.5W3;-2277;67: G+1.5W3;3086;25: 1.35G+1.5W+1.05Q+0.75S;8894;67: G+1.5W3;33435;8: 1.35G+1.5Q+0.75S+0.9W
64;-;-247;25: 1.35G+1.5W+1.05Q+0.75S;247;67: G+1.5W3;-3174;33: 1.35G+1.5W3+1.05Q+0.75S;2204;59: G+1.5W;5423;59: G+1.5W;26078;10: 1.35G+1.5Q+0.75S+0.9W3
68;-;-7332;25: 1.35G+1.5W+1.05Q+0.75S;7374;67: G+1.5W3;-4542;67: G+1.5W3;4623;25: 1.35G+1.5W+1.05Q+0.75S;-5949;25: 1.35G+1.5W+1.05Q+0.75S;2864;67: G+1.5W3
204;-;-2377;62: G+1.5W+1.05Q+0.75S;2445;30: 1.35G+1.5W3;-232;63: G+1.5W2;232;35: 1.35G+1.5W4+1.05Q;-3110;67: G+1.5W3;11203;25: 1.35G+1.5W+1.05Q+0.75S
75;-;-1498;33: 1.35G+1.5W3+1.05Q+0.75S;1317;59: G+1.5W;-8649;59: G+1.5W;8915;33: 1.35G+1.5W3+1.05Q+0.75S;-6517;59: G+1.5W;35960;33: 1.35G+1.5W3+1.05Q+0.75S
208;-;-86;25: 1.35G+1.5W+1.05Q+0.75S;120;67: G+1.5W3;0;59: G+1.5W;0;33: 1.35G+1.5W3+1.05Q+0.75S;81707;71: G+1.5W4;180333;9: 1.35G+1.5Q+0.75S+0.9W2
200;-;-247;25: 1.35G+1.5W+1.05Q+0.75S;247;67: G+1.5W3;-3174;33: 1.35G+1.5W3+1.05Q+0.75S;2204;59: G+1.5W;51641;67: G+1.5W3;143070;8: 1.35G+1.5Q+0.75S+0.9W
202;-;-2353;59: G+1.5W;2544;33: 1.35G+1.5W3+1.05Q+0.75S;-244;63: G+1.5W2;244;37: 1.35G+1.5W4+1.05Q+0.75S;17606;59: G+1.5W;50870;10: 1.35G+1.5Q+0.75S+0.9W3
206;-;-448;23: 1.35G+1.5W+1.05Q;448;67: G+1.5W3;-6649;25: 1.35G+1.5W+1.05Q+0.75S;6624;67: G+1.5W3;11461;67: G+1.5W3;55026;8: 1.35G+1.5Q+0.75S+0.9W
