Tableau des rŽactions d'appui;;;;;
Groupe : Groupe 1 (Repre global);;;;;
Point;Nom point;Cas;RFx;RFy;RFz
-;-;-;daN;daN;daN
56;-;1-G;34;0;25630
56;-;2-Q;44;0;16019
56;-;3-S;3;0;1210
56;-;4-W;-1585;0;5101
56;-;5-W2;-225;-163;458
56;-;13-W3;1627;0;-5236
56;-;14-W4;225;163;-458
184;-;1-G;0;286;9966
184;-;2-Q;0;184;4071
184;-;3-S;0;14;307
184;-;4-W;-164;1664;-4410
184;-;5-W2;0;-594;1762
184;-;13-W3;164;-1709;4530
184;-;14-W4;0;594;-1762
63;-;1-G;0;286;13923
63;-;2-Q;0;184;7515
63;-;3-S;0;14;568
63;-;4-W;-164;1664;3267
63;-;5-W2;0;-594;-979
63;-;13-W3;164;-1709;-3353
63;-;14-W4;0;594;979
64;-;1-G;0;-295;9942
64;-;2-Q;0;-190;6342
64;-;3-S;0;-14;479
64;-;4-W;-165;1666;-3012
64;-;5-W2;0;-595;1116
64;-;13-W3;165;-1711;3093
64;-;14-W4;0;595;-1116
68;-;1-G;-37;62;-654
68;-;2-Q;-42;43;-1502
68;-;3-S;-3;3;-114
68;-;4-W;-4823;2994;-2269
68;-;5-W2;-124;-483;-2025
68;-;13-W3;4941;-3069;2345
68;-;14-W4;124;483;2025
204;-;1-G;7;0;3398
204;-;2-Q;-12;0;247
204;-;3-S;-1;0;21
204;-;4-W;-1581;0;4227
204;-;5-W2;-223;-155;396
204;-;13-W3;1623;0;-4338
204;-;14-W4;223;155;-396
75;-;1-G;-38;16;9426
75;-;2-Q;-33;10;6266
75;-;3-S;-2;1;443
75;-;4-W;903;-5777;-10628
75;-;5-W2;327;-1594;-626
75;-;13-W3;-940;5922;10882
75;-;14-W4;-327;1594;626
208;-;1-G;0;0;82631
208;-;2-Q;0;0;43903
208;-;3-S;0;0;3163
208;-;4-W;-57;0;-17
208;-;5-W2;0;0;616
208;-;13-W3;80;0;13
208;-;14-W4;0;0;-616
200;-;1-G;0;-295;58564
200;-;2-Q;0;-190;38520
200;-;3-S;0;-14;2909
200;-;4-W;-165;1666;4495
200;-;5-W2;0;-595;-1568
200;-;13-W3;165;-1711;-4616
200;-;14-W4;0;595;1568
202;-;1-G;33;0;21961
202;-;2-Q;44;0;11910
202;-;3-S;3;0;899
202;-;4-W;-1591;0;-2903
202;-;5-W2;-224;-163;-679
202;-;13-W3;1634;0;2982
202;-;14-W4;224;163;679
206;-;1-G;0;-61;20915
206;-;2-Q;0;-40;13678
206;-;3-S;0;-3;984
206;-;4-W;-299;-4348;6150
206;-;5-W2;0;-1031;1529
206;-;13-W3;299;4457;-6303
206;-;14-W4;0;1031;-1529
Total;Total;1-G;0;0;255702
Total;Total;2-Q;0;0;146970
Total;Total;3-S;0;0;10869
Total;Total;4-W;-9689;-471;0
Total;Total;5-W2;-468;-5967;0
Total;Total;13-W3;9920;471;0
Total;Total;14-W4;468;5967;0
